date,text,like_count,quote_count,reply_count,retweet_count
2021-07-07 18:48:11,Supersonic shock wave,19187,54,1053,707
2021-07-07 18:46:53,https://t.co/O3BGaFuMDO,33472,133,1013,1753
2021-07-07 16:58:11,High res landing Falcon landing video https://t.co/8CPuH87JYv,124251,1620,6850,12837
2021-07-06 22:09:32,https://t.co/TQZ9QvcwH1,288424,2459,16067,32327
2021-07-05 07:12:04,Free Britney,433153,3443,17335,52974
2021-07-04 18:06:48,Happy 4th to all!,84760,119,3431,3393
2021-07-04 17:59:19,Bless America https://t.co/QNagk4PArb,233678,1241,11343,12509
2021-07-03 21:23:23,New SpaceX Starlink cover shows transfer orbit from Earth to Mars https://t.co/vwWeuhWCoP,95669,447,6371,6290
2021-07-02 13:20:14,https://t.co/oGKHhHROQa,199927,2248,16274,19857
2021-07-02 13:09:28,"Congrats Tesla Team on over 200,000 car built &amp; delivered in Q2, despite many challenges!!",173076,810,7851,10183
2021-07-02 09:03:21,https://t.co/g9F1p0bpr8,237297,876,7882,15244
2021-07-01 18:44:25,Super Heavy on road &amp; 7th Tower segment added https://t.co/SJIHA3BLhL,118927,761,5559,8614
2021-07-01 09:57:18,Super Heavy moves tomorrow https://t.co/qHG1SYO46S,150455,892,6208,9675
2021-07-01 09:24:21,"Baby Doge, doo, doo, doo, doo, doo,
Baby Doge, doo, doo, doo, doo, doo,
Baby Doge, doo, doo, doo, doo, doo,
Baby Doge",271130,9734,39954,43038
2021-07-01 08:43:41,Release the Doge! https://t.co/9bXCWQLIhu,129358,1523,11309,16691
2021-07-01 08:42:11,Stop gendering memes … I mean mimes,125452,366,5992,6560
2021-07-01 00:30:30,RT @SpaceX: Tracking footage of Falcon 9 landing on LZ-1 https://t.co/uCR2ZuDSG7,0,0,0,13960
2021-06-30 20:11:10,"Rapidly Reusable Rockets, R R R 🏴‍☠️",133960,939,9198,8032
2021-06-30 19:41:47,RT @SpaceX: Falcon 9’s first stage has landed on Landing Zone 1! https://t.co/26M9Ptomg7,0,0,0,8445
2021-06-30 19:33:55,RT @SpaceX: Liftoff! https://t.co/0icqQUWNSH,0,0,0,4241
2021-06-30 19:29:13,RT @SpaceX: Watch Falcon 9 launch 88 spacecraft to orbit → https://t.co/bJFjLCzWdK https://t.co/y3JRM5cDd3,0,0,0,2389
2021-06-29 18:46:33,RT @SpaceX: Live webcast of the Transporter-2 mission → https://t.co/bJFjLCzWdK https://t.co/ai5Mq5ytdv,0,0,0,3415
2021-06-29 14:57:18,"RT @SpaceX: Falcon 9 and 88 spacecraft are vertical on pad 40 ahead of today’s launch. The 58-minute window opens at 2:56 p.m. EDT, and the…",0,0,0,2656
2021-06-28 20:25:03,Thanks for all the happy birthday wishes!,380219,2507,36720,16565
2021-06-27 14:11:23,https://t.co/HStnXM0zmn,315025,1551,14414,25559
2021-06-25 22:58:58,"All 72 orbital planes activate in August, plus many other improvements, enabling global coverage, except for polar regions, which will take another 6 months",61970,253,3229,3356
2021-06-25 22:51:28,"Starlink simultaneously active users just exceeded the strategically important threshold of 69,420 last night!",169825,1424,11114,12662
2021-06-25 11:03:04,My Shiba Inu will be named Floki,303714,7195,39421,38374
2021-06-25 10:42:24,Timing is everything https://t.co/B6HDB5kS4G,210807,1424,8302,17376
2021-06-25 02:32:22,"RT @m_tijn: Accidentally deleted this tweet, so here it is again!
#EpicRocketRender #liftoff #spaceX #launchTower #Blender3d https://t.co/Q…",0,0,0,1002
2021-06-25 02:16:28,RT @archillect: https://t.co/vVjYch9uvb,0,0,0,5176
2021-06-25 02:11:52,“That’s not funny!” – Bitcoin maxis,60702,231,3555,3107
2021-06-25 02:10:31,How many Bitcoin maxis does it take to screw in a lightbulb?,101454,2298,18097,8280
2021-06-24 01:10:10,Shout out to the awesome Tesla global team. Thanks for working so hard to make Tesla successful!,154077,636,9335,7908
2021-06-22 01:09:09,RT @SpaceX: View from the droneship of Falcon 9’s landing https://t.co/vk9KP2vPhC,0,0,0,5426
2021-06-22 01:08:38,RT @teslacn: 5000 kms with 27 Supercharger Stations👉Tesla opens the longest Supercharger route from east to west in China⚡️#TheSilkRoute @T…,0,0,0,2013
2021-06-21 18:59:34,"Looking at holding Tesla AI Day in about a month or so. Will go over progress with Tesla AI software &amp; hardware, both training &amp; inference. Purpose is recruiting.",118267,696,10289,7659
2021-06-21 18:52:34,RT @SpaceX: Falcon 9's first stage returns to Earth and lands on the Just Read the Instructions droneship after launch of GPS III-5 https:/…,0,0,0,5846
2021-06-20 20:19:20,Happy Father’s Day!,320128,1093,18349,16808
2021-06-17 18:47:05,Real pic of 2 ships next to Starbase Tiki Bar on right https://t.co/E4awziEdDQ,79638,469,13998,6346
2021-06-17 18:09:39,"RT @SpaceX: Falcon 9’s first stage has landed on the Just Read the Instructions droneship, completing this booster’s second GPS III flight…",0,0,0,5334
2021-06-17 18:09:17,RT @SpaceX: Deployment of GPS III-5 confirmed https://t.co/bMWn5OVr40,0,0,0,2000
2021-06-17 18:09:06,RT @SpaceX: Flight-proven Falcon 9 launches GPS III-5 to orbit https://t.co/5Wu96cXCPM,0,0,0,2794
2021-06-17 18:06:02,RT @MotorTrend: We head to Auto Club Famoso Raceway to test out how long it takes the 2022 @Tesla Model S Plaid to go from 0 to 60 mph. Tes…,0,0,0,1378
2021-06-16 22:37:20,Let’s just skip original video games &amp; movies &amp; go straight to the sequel,146906,1318,15068,9048
2021-06-15 08:06:24,From the top of Starbase high bay https://t.co/kRtJBrwrqW,133775,646,10502,9380
2021-06-15 07:50:22,RT @cleantechnica: Jay Leno Breaks World Record In Tesla’s New Plaid Model S — “I Love This Car” https://t.co/Rxd7VNIZpx,0,0,0,1852
2021-06-15 07:47:35,Stacking Super Heavy Aft Section https://t.co/itydacQ4hM,156669,597,6151,9375
2021-06-14 08:22:48,K is Kindred,42550,294,12913,2031
2021-06-14 08:21:46,Could turn out to be one big Philip K Dick joke in the end,71912,383,8490,3602
2021-06-14 08:13:50,"Pluto takes 248 years to orbit the sun, but Uranus only takes 84",249369,2177,16527,14475
2021-06-14 05:04:50,!! https://t.co/3H9gMEmSLF,384669,4495,15937,37064
2021-06-14 04:02:55,This is true https://t.co/72u3SrBf6U,88419,412,4903,5032
2021-06-14 04:01:27,Our Soul Dichotomy https://t.co/D4PC5XK2VK,89373,503,4208,6841
2021-06-13 21:46:23,RT @Tesla: Playing Cyberpunk in Model S Plaid https://t.co/y9Ev4F6EaU,0,0,0,5227
2021-06-13 06:20:10,Esoteric meme of the day https://t.co/ELGmeLEXRE,173516,1130,14622,14483
2021-06-12 00:09:33,"RT @Teslarati: Did you catch Tesla's awesome new Model S Plaid badge? Check it out! 
Photo via @klwtts 
https://t.co/tMo4WdK7Vf https://t.c…",0,0,0,1618
2021-06-11 06:40:03,Plaid release event https://t.co/TxIHXnuw9A,54768,478,7710,4708
2021-06-11 04:47:43,"Most amount of fun on 4 wheels!
Pure joy on tap whenever u want.",56122,162,4294,2290
2021-06-11 04:45:32,Order Tesla Model S Plaid at https://t.co/LuUhICqQEI,92902,910,10187,6310
